name,address,city,phone,category,rating,review_count,google_maps_url,permanently_closed
Richard Mayr,"Ulrich-von-Hutten-Straße 7, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 31641,Elektriker,5,1,https://www.google.com/maps/search/?api=1&query=Richard%20Mayr&query_place_id=ChIJTXnlFoNQlkcRLxeftgQOLGU,False
"ELGAWA GmbH Elektro-, Gas- und Wasserinstallationen","Horststraße 110, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 50589,Elektriker,5,1,https://www.google.com/maps/search/?api=1&query=ELGAWA%20GmbH%20Elektro-%2C%20Gas-%20und%20Wasserinstallationen&query_place_id=ChIJPaFTqVVQlkcRXu7iDg1eK0w,False
Hans-Joachim Otto und Matthias Schuster GdbR,"Talstraße 8, 76228 Karlsruhe, Deutschland",Karlsruhe,+49 721 451726,Elektriker,4.6,8,https://www.google.com/maps/search/?api=1&query=Hans-Joachim%20Otto%20und%20Matthias%20Schuster%20GdbR&query_place_id=ChIJu17eAuwOl0cRzVhFfqW2jJ0,False
Klaus Plappert Elektroinstallateurmeister,"Beunstraße 59, 76229 Karlsruhe, Deutschland",Karlsruhe,+49 172 9372422,Elektroinstallationsdienst,5,3,https://www.google.com/maps/search/?api=1&query=Klaus%20Plappert%20Elektroinstallateurmeister&query_place_id=ChIJBXAW6kgJl0cRAArVrW2QJmc,False
Wolf K.,"Rhönstraße 54, 75203 Königsbach-Stein, Deutschland",Königsbach-Stein,+49 7232 4626,Elektriker,5,2,https://www.google.com/maps/search/?api=1&query=Wolf%20K.&query_place_id=ChIJ_1RzxagMl0cR56Kj5S4j8-A,False
Elektro-Hettich GmbH,"Ringstraße 2, 76456 Kuppenheim, Deutschland",Kuppenheim,+49 7222 94510,Elektriker,5,8,https://www.google.com/maps/search/?api=1&query=Elektro-Hettich%20GmbH&query_place_id=ChIJYUnPjiAcl0cRe47AneuNDv8,False
Doll Wasserinstallation,"Arbotstraße 9, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 32189,Auftragnehmer,5,6,https://www.google.com/maps/search/?api=1&query=Doll%20Wasserinstallation&query_place_id=ChIJZ6ii53lalkcRsPKfBImAxSw,False
Matz & Jung GmbH - Gebäudetechnik,"Speyerer Str. 2, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 98570,Heizungs- und Klimatechnikbetrieb,4.3,17,https://www.google.com/maps/search/?api=1&query=Matz%20%26%20Jung%20GmbH%20-%20Geb%C3%A4udetechnik&query_place_id=ChIJyULEkLVRlkcRfB6sL3ENnGk,False
Eiselbrecher,"Gewerbegebiet Landauer Wiesen, Siemensstraße 17, 94405 Landau an der Isar, Deutschland",Landau an der Isar,+49 9951 8681,Heizungsmonteur,4.1,11,https://www.google.com/maps/search/?api=1&query=Eiselbrecher&query_place_id=ChIJXxH8tnDgC0ERwq3bhqaTQNk,False
F. Letzelter Heizung / Solar / Sanitär,"Kraftgasse 54, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 890138,Heizungsmonteur,5,8,https://www.google.com/maps/search/?api=1&query=F.%20Letzelter%20Heizung%20%2F%20Solar%20%2F%20Sanit%C3%A4r&query_place_id=ChIJqSPAnL1XlkcRJ1fplAKEn_Q,False
Jörg Schirm Sanitärtechnik GmbH,"Alexanderstraße 175, 70180 Stuttgart, Deutschland",Stuttgart,+49 711 606663,Sanitärinstallateur,4.6,9,https://www.google.com/maps/search/?api=1&query=J%C3%B6rg%20Schirm%20Sanit%C3%A4rtechnik%20GmbH&query_place_id=ChIJWdWKIFPbmUcRFfWEyYIe4d4,False
Jochen Müller,"Schillerstraße 18, 70839 Gerlingen, Deutschland",Gerlingen,+49 7156 22242,Sanitärinstallateur,5,12,https://www.google.com/maps/search/?api=1&query=Jochen%20M%C3%BCller&query_place_id=ChIJAdjFfHPZmUcRMXKjM2FWPKg,False
Rienhardt GmbH,"Mauserstraße 17, 71640 Ludwigsburg, Deutschland",Ludwigsburg,+49 7141 861386,Sanitärinstallateur,4.4,7,https://www.google.com/maps/search/?api=1&query=Rienhardt%20GmbH&query_place_id=ChIJhfgxVx_OmUcRwiefcHJ7qmM,False
Kurt Knorr GmbH & Co. KG,"Bahnhofstraße 105/1, 74321 Bietigheim-Bissingen, Deutschland",Bietigheim-Bissingen,+49 7142 51191,Sanitärinstallateur,4.9,14,https://www.google.com/maps/search/?api=1&query=Kurt%20Knorr%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJQ6Vg5XLUmUcRGeiRJaWLnIA,False
Bernd Fader,"Meterstraße 5, 70839 Gerlingen, Deutschland",Gerlingen,+49 7156 21703,Sanitärinstallateur,4.6,14,https://www.google.com/maps/search/?api=1&query=Bernd%20Fader&query_place_id=ChIJaZc1Jw3ZmUcRErb9T8dDDWM,False
Frank Breuer Installationen,"Primelweg 4, 74385 Pleidelsheim, Deutschland",Pleidelsheim,+49 7144 886567,Sanitärinstallateur,4.9,16,https://www.google.com/maps/search/?api=1&query=Frank%20Breuer%20Installationen&query_place_id=ChIJFTT2rfnSmUcRa7yofI61Um0,False
Günther Lang Malergeschäft,"Zweibrücker Str. 15, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 31320,Maler,5,2,https://www.google.com/maps/search/?api=1&query=G%C3%BCnther%20Lang%20Malergesch%C3%A4ft&query_place_id=ChIJf3PJee1QlkcRghMhvEQIuTs,False
Verputzarbeiten Knauth e.K.,"Berwartsteinstraße 27, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 32393,Auftragnehmer,4.3,6,https://www.google.com/maps/search/?api=1&query=Verputzarbeiten%20Knauth%20e.K.&query_place_id=ChIJTUCpB5FQlkcRxA02F8XQtsg,False
Raumausstattung Hess,,,+49 1515 3406489,Maler,,,https://www.google.com/maps/search/?api=1&query=Raumausstattung%20Hess&query_place_id=ChIJs8HfSi6RGqsRac8JkDfpwwk,False
wahl project GmbH,"Bayernstraße 18, 72768 Reutlingen, Deutschland",Reutlingen,+49 7121 143090,Maler,,,https://www.google.com/maps/search/?api=1&query=wahl%20project%20GmbH&query_place_id=ChIJC4TsEOHtmUcROCuz5Ou_1S0,False
Renovision,"Danziger Str. 23, 71737 Kirchberg an der Murr, Deutschland",Kirchberg an der Murr,+49 174 3417252,Maler,,,https://www.google.com/maps/search/?api=1&query=Renovision&query_place_id=ChIJBdf_RROv5yoRlyXrBoWQuzI,False
Malermeistebetrieb Jürgen Glass,,,+49 177 8211470,Maler,,,https://www.google.com/maps/search/?api=1&query=Malermeistebetrieb%20J%C3%BCrgen%20Glass&query_place_id=ChIJIVncXCfLmUcR-DwOVNSOKK4,False
Thomas Lipp Maler- und Lackierarbeiten,"Schubertstraße 4, 76768 Berg (Pfalz), Deutschland",Berg (Pfalz),+49 7273 678,Maler,,,https://www.google.com/maps/search/?api=1&query=Thomas%20Lipp%20Maler-%20und%20Lackierarbeiten&query_place_id=ChIJoXSap-f9lkcR9oqWnb41XhA,False
Maler Dausch,"Bergstraße 1a, 66994 Dahn, Deutschland",Dahn,+49 6391 2572,Maler,5,2,https://www.google.com/maps/search/?api=1&query=Maler%20Dausch&query_place_id=ChIJwaWmcHJhlkcRCFNUfIUcDtQ,False
DG TEC - Fußbodenheizung & Wärmepumpen,"Eugenstraße 6, 71696 Möglingen, Deutschland",Möglingen,+49 15563 604536,Heizungsmonteur,5,13,https://www.google.com/maps/search/?api=1&query=DG%20TEC%20-%20Fu%C3%9Fbodenheizung%20%26%20W%C3%A4rmepumpen&query_place_id=ChIJU74QXJjRmUcR2MBc9vR6f5w,False
Franz-Josef Müller,"Am Altrhein 16, 76437 Rastatt, Deutschland",Rastatt,+49 7222 200915,Sanitärinstallateur,4.3,6,https://www.google.com/maps/search/?api=1&query=Franz-Josef%20M%C3%BCller&query_place_id=ChIJV_ntePzilkcRmBvczpWZSxU,False
Walter Heizungsbau GmbH,"Allmendweg 4, 76287 Rheinstetten, Deutschland",Rheinstetten,+49 7242 5089,Sanitärinstallateur,4.5,11,https://www.google.com/maps/search/?api=1&query=Walter%20Heizungsbau%20GmbH&query_place_id=ChIJ5QlwPTUCl0cRiHGtS0Upd0c,False
Dietmar Hermann GmbH,"Am Steinhäusle 37, 76228 Karlsruhe, Deutschland",Karlsruhe,+49 721 45275,Sanitärinstallateur,3.7,3,https://www.google.com/maps/search/?api=1&query=Dietmar%20Hermann%20GmbH&query_place_id=ChIJPbPMbiQPl0cRfWlYd_a5lec,False
Zimmerei und Holzbau Frank Ertel,"Queichheimer Hauptstraße 89, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 160 92595161,Zimmermann,4.7,12,https://www.google.com/maps/search/?api=1&query=Zimmerei%20und%20Holzbau%20Frank%20Ertel&query_place_id=ChIJW7oWkitRlkcRmiW5bOLrSYY,False
Volker Braun Klemptnerei Dachdeckerei,"Queichheimer Hauptstraße 182, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 54311,Dachdecker,5,2,https://www.google.com/maps/search/?api=1&query=Volker%20Braun%20Klemptnerei%20Dachdeckerei&query_place_id=ChIJG9FDHgZRlkcRIbFFlzkWOt8,False
Kaufhaus Warenwert quin GmbH,"Gewerbegebiet Straubinger Straße/Lindenstraße, Straubinger Str. 58, 94405 Landau an der Isar, Deutschland",Landau an der Isar,+49 9951 6009930,Kaufhaus,4.2,71,https://www.google.com/maps/search/?api=1&query=Kaufhaus%20Warenwert%20quin%20GmbH&query_place_id=ChIJkcPGU591dUcRpIHATs5TpTs,False
Dachdeckermeister Markus Leber,"Wesebachstraße 22, 76327 Pfinztal, Deutschland",Pfinztal,+49 7240 7578,Dachdecker,5,2,https://www.google.com/maps/search/?api=1&query=Dachdeckermeister%20Markus%20Leber&query_place_id=ChIJpxboP90Ll0cRm7MMqam4hBk,False
Schabler Dachdeckerei GmbH,"Klosterwiesen 9, 67295 Bolanden, Deutschland",Bolanden,+49 6352 749411,Dachdecker,5,2,https://www.google.com/maps/search/?api=1&query=Schabler%20Dachdeckerei%20GmbH&query_place_id=ChIJc-VOFw4ilkcR5KPvEV2-uuQ,False
Dach und Holzbau Saks,"An d. Pfarrwiese 2, 67591 Hohen-Sülzen, Deutschland",Hohen-Sülzen,+49 176 70468997,Dachdecker,4.8,20,https://www.google.com/maps/search/?api=1&query=Dach%20und%20Holzbau%20Saks&query_place_id=ChIJsW0x_HwvlkcRvDMLne_0gpU,False
Dachdeckerei Franzisko,"Alte Viernheimer Str. 39, 68623 Lampertheim, Deutschland",Lampertheim,+49 6206 1306826,Dachdecker,5,1,https://www.google.com/maps/search/?api=1&query=Dachdeckerei%20Franzisko&query_place_id=ChIJ12sDoLbTl0cRZZcvMcXXNZc,False
Meisterbau & Dach GmbH,"Langenwaldstraße 14, 67806 Rockenhausen, Deutschland",Rockenhausen,+49 6361 458424,Dachdecker,4.7,15,https://www.google.com/maps/search/?api=1&query=Meisterbau%20%26%20Dach%20GmbH&query_place_id=ChIJw57iI-MalkcRaOC85rEN6wM,False
Ralf Pröstler,"Hauptstraße 135, 67590 Monsheim, Deutschland",Monsheim,+49 6243 905925,Dachdecker,5,3,https://www.google.com/maps/search/?api=1&query=Ralf%20Pr%C3%B6stler&query_place_id=ChIJm_5Au1EvlkcRzkjKolYlocY,False
Egelhofer Dachdeckerei GmbH,"Kreuzweg 2, 67808 Falkenstein, Deutschland",Falkenstein,+49 6302 5414,Dachdecker,5,3,https://www.google.com/maps/search/?api=1&query=Egelhofer%20Dachdeckerei%20GmbH&query_place_id=ChIJ5V96-z0alkcRbMjgpiUVNMg,False
Danny Adkins,"Relsberger Str. 1, 67753 Hefersweiler, Deutschland",Hefersweiler,+49 6382 993239,Dachdecker,5,1,https://www.google.com/maps/search/?api=1&query=Danny%20Adkins&query_place_id=ChIJydnyzZ2lDEERctC7v_LEPcw,False
MD-Bedachungen & Abdichtungstechnik,"Bernsteinweg, 76456 Kuppenheim, Deutschland",Kuppenheim,+49 176 80768641,Dachdecker,5,8,https://www.google.com/maps/search/?api=1&query=MD-Bedachungen%20%26%20Abdichtungstechnik&query_place_id=ChIJV3Fkb3kdl0cRGy1vLdZ30XQ,False
Helberg Bedachungen GmbH,"Ob. Bahnhofstraße 12, 76448 Durmersheim, Deutschland",Durmersheim,+49 7245 81453,Dachdecker,3.3,6,https://www.google.com/maps/search/?api=1&query=Helberg%20Bedachungen%20GmbH&query_place_id=ChIJE89z8BgDl0cRUjJbXjj4vR4,False
Nehr Dach- und Abdichtungstechnik,"Auer Str. 44, 76287 Rheinstetten, Deutschland",Rheinstetten,+49 7242 9347485,Dachdecker,5,5,https://www.google.com/maps/search/?api=1&query=Nehr%20Dach-%20und%20Abdichtungstechnik&query_place_id=ChIJG8dwJjYCl0cR90BNduxyE1E,False
Asllanaj,"Pfalzstraße 12, 76189 Karlsruhe, Deutschland",Karlsruhe,+49 721 1610604,Dachdecker,1.8,4,https://www.google.com/maps/search/?api=1&query=Asllanaj&query_place_id=ChIJozg67coGl0cRfyg0oYPtAmI,False
Rolf Luther,"Dekan-Fellhauer-Straße 9, 76359 Marxzell, Deutschland",Marxzell,+49 7248 1416,Dachdecker,5,4,https://www.google.com/maps/search/?api=1&query=Rolf%20Luther&query_place_id=ChIJ2WfNEkkQl0cRK2UBj69LmgQ,False
Jürgen Weidenbacher,"Hildastraße 19, 76470 Ötigheim, Deutschland",Ötigheim,+49 7222 23692,Dachdecker,5,5,https://www.google.com/maps/search/?api=1&query=J%C3%BCrgen%20Weidenbacher&query_place_id=ChIJO3r3KyMdl0cR_81oc0MfaXA,False
Landesinnungsverband des Dachdeckerhandwerks Baden-Württemberg,"Rüppurrer Str. 13, 76137 Karlsruhe, Deutschland",Karlsruhe,+49 721 9338010,Dachdecker,,,https://www.google.com/maps/search/?api=1&query=Landesinnungsverband%20des%20Dachdeckerhandwerks%20Baden-W%C3%BCrttemberg&query_place_id=ChIJJ_CphUcGl0cRPOnfakZO-rY,False
KFZ-Werkstatt Udo Weber,"Nordring 30, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 180 5 035786,Autowerkstatt,5,1,https://www.google.com/maps/search/?api=1&query=KFZ-Werkstatt%20Udo%20Weber&query_place_id=ChIJNZrkavZQlkcRebeuInJ9cSo,False
Klaus Ritzmann KFZ-Reparatur,"Am bhf 16, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 60619,Autowerkstatt,4.8,50,https://www.google.com/maps/search/?api=1&query=Klaus%20Ritzmann%20KFZ-Reparatur&query_place_id=ChIJRcpXnY5alkcRL5t_hacYFZA,False
PS Autoservice Inh. Syring Patrick,"Im Grein 16, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 283243,Autowerkstatt,5,91,https://www.google.com/maps/search/?api=1&query=PS%20Autoservice%20Inh.%20Syring%20Patrick&query_place_id=ChIJx4_8AbJRlkcR5dSnrrXR-_U,False
Schlichting KFZ Reparaturen,"Im Justus 5, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 4309,Autowerkstatt,4.7,15,https://www.google.com/maps/search/?api=1&query=Schlichting%20KFZ%20Reparaturen&query_place_id=ChIJuQWCUgBRlkcRW8gSFR52FQU,False
Auto-Josef Hahn,"Helmbachstraße 2, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 50320,Autowerkstatt,5,1,https://www.google.com/maps/search/?api=1&query=Auto-Josef%20Hahn&query_place_id=ChIJsRJQVapRlkcRKjstsp5jqL0,False
Neuhart Kfz.-Werkstatt,"Industriegebiet 1, 66999 Hinterweidenthal, Deutschland",Hinterweidenthal,+49 6396 1711,Autowerkstatt,4.6,25,https://www.google.com/maps/search/?api=1&query=Neuhart%20Kfz.-Werkstatt&query_place_id=ChIJoXe7LZJjlkcR8qAR7h9Hpyg,False
Autohaus Korn - Hans Korn,"Gewerbepark Neudahn 2, 66994 Dahn, Deutschland",Dahn,+49 6391 3135,Autohändler,4.8,28,https://www.google.com/maps/search/?api=1&query=Autohaus%20Korn%20-%20Hans%20Korn&query_place_id=ChIJxZaw5udjlkcR78BARw-kB7Q,False
Hans-Dieter Gein,"Fassendeichstraße 6, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 959926,Autowerkstatt,4.5,17,https://www.google.com/maps/search/?api=1&query=Hans-Dieter%20Gein&query_place_id=ChIJL1B9X1JQlkcRKyKl7bPXrI4,False
Sebastian Schwaab Autotechnik,"Weißenburger Str. 57, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 88098,Autowerkstatt,4.7,41,https://www.google.com/maps/search/?api=1&query=Sebastian%20Schwaab%20Autotechnik&query_place_id=ChIJqxpgiEdRlkcR6xAe4gTuuJ4,False
Kfz Werkstatt Merz,"Hauptstraße 44, 76831 Billigheim-Ingenheim, Deutschland",Billigheim-Ingenheim,,Autowerkstatt,4.7,13,https://www.google.com/maps/search/?api=1&query=Kfz%20Werkstatt%20Merz&query_place_id=ChIJschNBm9XlkcRECFK2oeQ3W8,False
Auto & Reifen-Zentrum Im Wolfangel e.K.,"Im Wolfangel 2, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 9597315,Autowerkstatt,5,5,https://www.google.com/maps/search/?api=1&query=Auto%20%26%20Reifen-Zentrum%20Im%20Wolfangel%20e.K.&query_place_id=ChIJlyq_Q0xQlkcRL4vmEZTzpGg,False
Saab-Zentrum-Südpfalz GmbH,"Lise-Meitner-Straße 2, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 510999,Autowerkstatt,,,https://www.google.com/maps/search/?api=1&query=Saab-Zentrum-S%C3%BCdpfalz%20GmbH&query_place_id=ChIJI4JHp-JQlkcRNr9P3dqR8bQ,False
Kfz Meisterbetrieb Dörr GmbH,"Theo-Klein-Straße 6, 76857 Ramberg, Deutschland",Ramberg,+49 6345 9597934,Autowerkstatt,4.9,50,https://www.google.com/maps/search/?api=1&query=Kfz%20Meisterbetrieb%20D%C3%B6rr%20GmbH&query_place_id=ChIJYcwsi65ElkcRMgj9GnmvLWA,False
AIC Ahfir,"Fichtenstraße 7, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 51232,Autowerkstatt,3,1,https://www.google.com/maps/search/?api=1&query=AIC%20Ahfir&query_place_id=ChIJSd6bX6xRlkcRprRNekYiRtw,False
Kfz.- und Landmaschinenservice Betz,"In d. Plenk 1, 76833 Frankweiler, Deutschland",Frankweiler,+49 6345 9594914,Autowerkstatt,4.9,18,https://www.google.com/maps/search/?api=1&query=Kfz.-%20und%20Landmaschinenservice%20Betz&query_place_id=ChIJW74SAsFalkcRDa5L_Fbr1yA,False
KFZ-Werkstatt Liebl,"Straubinger Str. 79, 94405 Landau an der Isar, Deutschland",Landau an der Isar,+49 9951 6821,Autowerkstatt,5,42,https://www.google.com/maps/search/?api=1&query=KFZ-Werkstatt%20Liebl&query_place_id=ChIJvylBfKF1dUcRRAVymFySHLQ,False
Franz Hauser,"Bahnhofstraße 30, 94405 Landau an der Isar, Deutschland",Landau an der Isar,+49 9951 7647,Autowerkstatt,4.8,55,https://www.google.com/maps/search/?api=1&query=Franz%20Hauser&query_place_id=ChIJt8wxu591dUcR0e1yEcL9aqc,False
Fahrzeugtechnik Papp Michel,"Draisstraße 8/2, 76448 Durmersheim, Deutschland",Durmersheim,+49 7245 9024664,Autowerkstatt,4.8,37,https://www.google.com/maps/search/?api=1&query=Fahrzeugtechnik%20Papp%20Michel&query_place_id=ChIJf3CdUfwCl0cRIbcYnZHbjRc,False
ASS Autoglas,"Wiesentalstraße 1, 76571 Gaggenau, Deutschland",Gaggenau,+49 7225 983579,Autowerkstatt,5,18,https://www.google.com/maps/search/?api=1&query=ASS%20Autoglas&query_place_id=ChIJnRt-x4sZl0cRDJAL2PC43UQ,False
SEN - (Smart Repair & Spot Repair),"Industriestraße 11, 76189 Karlsruhe, Deutschland",Karlsruhe,+49 179 3709890,Fahrzeuglackiererei,5,155,https://www.google.com/maps/search/?api=1&query=SEN%20-%20(Smart%20Repair%20%26%20Spot%20Repair)&query_place_id=ChIJP0g5D8WXl0cRRq0B1emDiqE,False
